Title,Author,Length,Rating
75. A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,8 hrs and 23 mins,"1,956 "
76. When the Moon Hatched,Sarah A. Parker,20 hrs and 12 mins,"2,417 "
77. The Plight Before Christmas,Kate Stewart,10 hrs and 53 mins,"3,101 "
78. Hunting Adeline,H. D. Carlton,17 hrs and 24 mins,"10,816 "
79. Glow of the Everflame,Penn Cole,20 hrs and 50 mins,"2,233 "
80. Hillbilly Elegy,J. D. Vance,6 hrs and 49 mins,"60,582 "
81. The Christmas Fix,Lucy Score,10 hrs and 2 mins,706 
82. Demon Copperhead,Barbara Kingsolver,21 hrs and 3 mins,"27,877 "
83. Cozy Witch Mysteries: Special Edition Box Set of 8 Books,Angela Pepper,77 hrs and 20 mins,621 
84. The 7 Habits of Highly Effective People,Stephen R. Covey,13 hrs and 4 mins,"39,769 "
"85. I Want to Trust You, but I Don't",Lysa TerKeurst,6 hrs and 51 mins,113 
86. The Christmas Bookshop,Jenny Colgan,11 hrs and 23 mins,"2,848 "
87. This Inevitable Ruin,Matt Dinniman,Not Yet Known,Not rated yet
88. The Dungeon Anarchist's Cookbook,Matt Dinniman,16 hrs and 54 mins,"15,221 "
89. The Songbird and the Heart of Stone,Carissa Broadbent,13 hrs and 44 mins,582 
90. Credence,Penelope Douglas,16 hrs and 55 mins,"9,370 "
91. I'm Glad My Mom Died,Jennette McCurdy,6 hrs and 26 mins,"116,398 "
92. The Gate of the Feral Gods,Matt Dinniman,18 hrs and 3 mins,"13,741 "
93. I Will Teach You to Be Rich,Ramit Sethi,12 hrs and 8 mins,"9,687 "
94. The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",19 hrs and 24 mins,"1,541 "
95. A Kingdom of Flesh and Fire,Jennifer L. Armentrout,24 hrs and 21 mins,"16,041 "
96. The Inmate,Freida McFadden,8 hrs and 5 mins,"9,541 "
97. Hábitos atómicos (Español neutro),James Clear,9 hrs and 1 min,"3,587 "
98. Flock,Kate Stewart,10 hrs and 12 mins,"9,730 "
"99. Think This, Not That",Dr. Josh Axe,9 hrs and 22 mins,45 
100. Think and Grow Rich,Napoleon Hill,9 hrs and 35 mins,"32,097 "
